power_bin,rows,mae_kw,rmse_kw,r2,mean_residual_kw,median_absolute_error_kw,p95_absolute_error_kw,max_absolute_error_kw
-100-100,27520,5.645801978852387,9.700687653590007,0.9167104541630822,-2.0046390594176087,2.7559583507540073,19.907926982816583,231.74353720889184
100-500,31485,25.50316932907849,34.03738061793142,0.9097977939441785,3.4657625645619285,19.50133636538544,69.86590740712074,308.883454424585
500-1000,14585,49.71306838662638,63.501590070735475,0.8010181239792334,15.777993403056644,40.50270057709247,125.83306073814651,573.5527867966377
1000-1500,6435,59.28760582154816,73.9568451657693,0.7328081165620058,13.367955539081699,51.20406699319324,143.06056337947427,532.666391562645
1500-1900,2993,57.66933801994492,74.95191578869036,0.5704041093855488,14.864726351520755,44.701026092384154,153.4833639992035,358.2627333966591
1900-2500,524,67.35169319516076,102.89296597922102,-5.386890892436674,60.44802163050187,45.150864146764775,231.39322192217662,990.2645998495766
